,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
3,ケイツーフラン,19/9/6,川崎☆,7,チッタで日本民謡とジャズの融合記念 Ｃ３(一)(二),1500,晴/稍重,2,7,4/10,1:38.7,0.4,41.1,7-8-7,449,町田直,54.0,加藤誠,"120,000"
4,ケイツーフラン,19/8/22,川崎☆,7, Ｃ３(一)(二),1500,曇/良,2,6,7/11,1:39.4,1.3,40.4,9-9-8,451,中越琉,52.0,加藤誠,0
5,ケイツーフラン,19/8/2,川崎☆,9,２０１９夏　川崎ジョッキーズカップ Ｃ３,1500,晴/良,1,8,5/13,1:39.9,0.9,41.5,9-9-8,450,中越琉,52.0,加藤誠,"120,000"
6,ケイツーフラン,19/7/23,川崎,2,あさがお賞 Ｃ３,1500,曇/稍重,9,4,10/11,1:40.4,2.8,42.4,5-5-6,454,赤岡修,54.0,加藤誠,0
7,ケイツーフラン,19/7/4,川崎☆,7,小野ファーム牧場アイス記念 Ｃ３(一)(二),1500,雨/不良,1,4,5/10,1:40.8,2.6,42.8,3-3-3,452,赤岡修,54.0,加藤誠,"96,000"
8,ケイツーフラン,19/6/18,船橋,7,ヤングジョッキーズＴＲ船橋　第１戦 Ｃ３,1600,曇/稍重,1,9,2/12,1:46.7,1.5,41.6,5-4-5,443,中越琉,54.0,加藤誠,"640,000"
9,ケイツーフラン,19/6/14,川崎☆,7,今年は当てる！華奈お誕生日おめでとう記念 Ｃ３(一)(二)(三),1400,晴/良,3,8,9/10,1:34.1,1.4,41.2,9-6-7,450,笹川翼,54.0,加藤誠,0
10,ケイツーフラン,19/5/17,川崎☆,7,令和元年１００円ビールフェス関東開催記念 Ｃ３(一)(二),1500,晴/良,6,3,6/6,1:40.1,1.4,43.1,3-6-6,445,吉井章,52.0,加藤誠,0
11,ケイツーフラン,19/4/5,川崎,4, Ｃ３(一)(二),1400,晴/良,8,8,10/10,1:35.6,3.1,41.1,10-10-10,439,藤江渉,54.0,加藤誠,0
12,ケイツーフラン,18/11/27,川崎☆,7,かながわトクトクウォーク記念 Ｃ２(七)(八)(九),1500,晴/良,3,9,4/12,1:37.7,1.3,40.3,8-8-4,448,吉井章,53.0,加藤誠,"150,000"
