,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
12,ヨイチビーム,17/10/10,川崎☆,8, Ｃ１(五)(六),1500,晴/稍重,9,9,10/12,1:39.3,1.6,41.7,4-1-5,482,山崎誠,56.0,河津裕,0
13,ヨイチビーム,17/9/7,川崎☆,7, Ｃ１(五)(六),1500,曇/重,1,3,6/10,1:40.9,2.4,42.0,6-9-7,484,張田昂,56.0,河津裕,0
14,ヨイチビーム,17/8/22,川崎☆,7, Ｃ１(六)(七),1500,曇/稍重,7,10,4/12,1:37.3,0.9,40.7,3-3-3,481,張田昂,56.0,河津裕,"168,000"
15,ヨイチビーム,17/8/2,川崎☆,6, Ｃ１(七)(八),1400,曇/不良,10,5,8/11,1:35.5,1.7,43.7,6-6-7,479,櫻井光,54.0,河津裕,0
16,ヨイチビーム,17/7/4,川崎☆,7,高橋正嘉ウーロン杯 Ｃ１(八)(九),1400,曇/良,9,8,5/11,1:31.7,1.5,40.5,7-7-5,479,櫻井光,53.0,河津裕,"144,000"
17,ヨイチビーム,17/6/15,川崎☆,6, Ｃ１(五)(六),1400,晴/稍重,12,7,9/11,1:34.9,2.6,43.3,4-4-4,476,櫻井光,53.0,河津裕,0
18,ヨイチビーム,17/5/30,浦和,9,足袋蔵のまち行田賞 Ｃ１(六)(七)(八),1500,晴/良,8,11,10/12,1:39.3,2.2,41.0,8-7-9,474,田中涼,56.0,河津裕,0
19,ヨイチビーム,17/1/1,川崎,10,初日の出（はつひので）特別 Ｃ１(三),1500,晴/良,7,11,9/13,1:37.9,2.1,40.6,8-7-7,474,中野省,56.0,河津裕,0
20,ヨイチビーム,16/12/16,川崎☆,7,マッシュルーム記念 Ｃ１(四),1400,晴/重,3,10,10/10,1:34.4,2.3,42.3,5-6-5,483,中野省,56.0,河津裕,0
21,ヨイチビーム,16/11/3,川崎,8,よみうりランドジュエルミネーション賞 Ｃ１,1400,晴/重,6,7,7/10,1:34.8,2.7,42.0,9-9-7,474,中野省,56.0,河津裕,0
22,ヨイチビーム,16/10/21,浦和,10,川越藩のお蔵米記念 Ｃ１(五),1600,晴/良,6,6,10/10,1:45.9,2.9,40.6,6-6-6,485,中野省,56.0,河津裕,0
23,ヨイチビーム,16/10/3,川崎☆,8,稲村ヶ崎（いなむらがさき）特別 Ｃ１(三),1600,雨/稍重,1,7,7/9,1:47.1,1.3,40.6,5-6-4,484,中野省,56.0,河津裕,0
24,ヨイチビーム,16/9/13,川崎☆,12,いわし雲特別 Ｃ１(二),1500,雨/不良,11,7,10/11,1:41.1,3.6,42.3,4-5-5,474,中野省,56.0,河津裕,0
25,ヨイチビーム,16/6/17,川崎☆,7,司法書士法人静岡！新事務所竣工記念 Ｃ１(四),1600,晴/稍重,1,5,1/9,1:45.4,0.1,41.2,6-6-5,478,中野省,56.0,河津裕,"1,200,000"
26,ヨイチビーム,16/5/23,川崎☆,8,矢車（やぐるま）特別 Ｃ１,2000,晴/良,1,5,6/8,2:13.5,2.2,40.4,5-5-3,478,中野省,56.0,河津裕,0
27,ヨイチビーム,16/5/13,川崎☆,9,クラシックジュニアカップ Ｃ１Ｃ２,1600,晴/良,2,6,5/9,1:46.0,0.7,40.4,6-6-4,479,中野省,57.0,河津裕,"216,000"
28,ヨイチビーム,16/4/29,浦和,9,２０１６さいたまトリエンナーレ開催記念 Ｃ１(六),1400,晴/稍重,12,12,5/12,1:32.7,1.5,40.4,11-11-8,472,本田重,56.0,河津裕,"110,000"
29,ヨイチビーム,16/3/30,川崎☆,9, Ｃ１(四),1400,曇/良,7,7,12/12,1:34.1,1.9,40.6,10-11-11,480,吉原寛,56.0,河津裕,0
30,ヨイチビーム,16/3/3,川崎,7, Ｃ１(三)(四),1400,晴/良,6,10,11/12,1:33.7,2.9,42.6,5-6-7,481,ボッサ,56.0,河津裕,0
31,ヨイチビーム,16/2/5,浦和,10,越生野梅（おごせやばい）賞 Ｃ１(五),1500,晴/稍重,3,5,12/12,1:41.4,3.9,43.3,5-8-12,483,本田重,56.0,河津裕,0
32,ヨイチビーム,15/7/24,川崎☆,8,湘南江の島海の王子杯 ３歳(一),1600,曇/良,6,3,1/8,1:45.4,0.1,40.5,2-1-2,474,瀧川寿,56.0,河津裕,"1,800,000"
33,ヨイチビーム,14/12/22,浦和,7,新星（しんせい）特別 ２歳(一),1500,晴/重,12,1,7/11,1:40.8,2.5,42.8,4-5-6,468,御神訓,55.0,河津裕,0
34,ヨイチビーム,14/11/6,川崎☆,6,秋桜（こすもす）特別 ２歳(二),1500,雨/稍重,5,2,1/12,1:36.9,0.1,40.8,4-2-2,472,御神訓,55.0,河津裕,"2,300,000"
35,ヨイチビーム,14/10/24,大井,1, ２歳１８０万,1200,晴/不良,4,2,4/14,1:13.7,0.9,38.1,5-4,471,御神訓,55.0,河津裕,"240,000"
36,ヨイチビーム,14/10/15,川崎☆,6,秋風（あきかぜ）特別 ２歳(一),1600,雨/重,9,5,4/9,1:45.8,0.9,41.4,7-5-4,465,今野忠,55.0,河津裕,"300,000"
37,ヨイチビーム,14/9/5,川崎,1, ２歳(三),1400,晴/良,3,1,2/9,1:33.9,0.4,42.0,4-4-3,468,御神訓,54.0,河津裕,"450,000"
38,ヨイチビーム,14/8/22,川崎,2,スパーキングデビュー新馬 ２歳(四)(イ),900,晴/良,9,5,3/9,56.7,1.5,38.2,4-5-6,466,今野忠,54.0,河津裕,"450,000"
0,グレートコマンダー,19/10/25,川崎☆,10,よこすか海軍カレー記念 Ｂ２(二),1600,曇/不良,2,12,5/12,1:44.7,1.6,40.1,11-12-10,488,酒井忍,54.0,村田順,"260,000"
1,グレートコマンダー,19/10/2,大井☆,12,ニュートラック松山開設４周年記念 Ｂ２(三),1600,晴/良,12,14,13/15,1:43.7,1.3,39.1,15-14-15,491,町田直,54.0,村田順,0
2,グレートコマンダー,19/9/4,川崎☆,10,幻の八幡平バイオレット発売記念 Ｂ２(一),1600,曇/不良,2,7,9/9,1:44.8,2.2,40.9,7-7-7,484,酒井忍,54.0,村田順,0
3,グレートコマンダー,19/8/23,川崎☆,11,第７２回　秦野たばこ祭記念 Ｂ２Ｂ３(一),1500,曇/重,2,7,6/13,1:36.0,0.5,38.7,13-13-13,479,酒井忍,55.0,村田順,0
4,グレートコマンダー,19/7/22,川崎☆,11,ばん馬が川崎競馬場にやってきたよ記念 Ｂ２(一),1500,雨/稍重,6,3,7/11,1:37.2,2.7,41.3,2-2-4,485,酒井忍,54.0,村田順,0
5,グレートコマンダー,19/7/3,川崎☆,9,日高特別 Ｂ２(二),1500,曇/重,12,8,1/12,1:36.4,0.2,40.7,2-2-2,487,酒井忍,54.0,村田順,"2,600,000"
6,グレートコマンダー,19/6/14,川崎☆,11,旧吉田茂邸オープン３周年記念特別 Ｂ２(二),1500,晴/良,8,6,5/11,1:36.4,0.7,39.9,3-3-3,491,町田直,54.0,村田順,"260,000"
7,グレートコマンダー,19/5/17,川崎☆,11,小田原市特別 Ｂ２(二)Ｂ３(一),1600,晴/良,12,8,5/14,1:44.6,0.5,40.8,3-4-3,492,町田直,55.0,村田順,"260,000"
8,グレートコマンダー,19/4/26,大井☆,12,あおば賞 Ｂ２(三)(六),1200,雨/稍重,13,10,8/13,1:14.5,0.9,38.9,5-7,494,山崎誠,54.0,村田順,0
9,グレートコマンダー,19/4/2,川崎☆,12,染井吉野（そめいよしの）特別 Ｂ２(三)Ｂ３(一),1500,曇/良,2,6,2/11,1:36.3,0.1,38.9,2-2-2,485,山崎誠,55.0,村田順,"1,040,000"
10,グレートコマンダー,19/2/27,川崎,11,エンプレス杯（ＪｐｎII）【指定交流】,2100,曇/良,11,11,12/13,2:20.1,4.8,41.3,12-12-12,495,町田直,55.0,村田順,0
11,グレートコマンダー,19/2/12,浦和,11,初音（はつね）特別 Ｂ２(二)Ｂ３(一),1400,曇/稍重,1,10,9/11,1:31.4,3.1,38.8,11-11-9,486,伊藤裕,55.0,村田順,0
12,グレートコマンダー,19/1/30,川崎,10,猛虎（もうこ）特別 Ｂ２(二)Ｂ３(一),1500,晴/良,3,10,10/13,1:37.6,2.2,41.2,5-8-8,492,伊藤裕,55.0,村田順,0
13,グレートコマンダー,19/1/1,川崎,11,迎春（げいしゅん）盃 Ｂ２(二)Ｂ３(一),1600,晴/良,12,8,11/13,1:46.7,2.6,41.7,10-10-12,486,吉原寛,55.0,村田順,0
14,グレートコマンダー,18/12/20,川崎☆,11,ウインターイルミネーション特別 Ｂ２(一),1600,晴/重,13,8,11/13,1:45.2,1.9,42.0,4-4-4,485,笹川翼,54.0,村田順,0
15,グレートコマンダー,18/11/28,川崎☆,10,ポインセチア賞 Ｂ２Ｂ３,1500,晴/良,6,7,1/12,1:36.3,0.2,38.6,1-1-1,483,笹川翼,53.0,村田順,"2,600,000"
16,グレートコマンダー,18/11/2,大井☆,12,シトリン賞 Ｂ３(二),1600,晴/良,11,7,13/16,1:45.6,2.8,42.6,8-9-11,487,酒井忍,54.0,村田順,0
17,グレートコマンダー,18/10/17,川崎☆,12,稲村ケ崎（いなむらがさき）特別 Ｂ３(一),1600,曇/良,9,4,9/14,1:44.8,1.1,39.9,6-5-7,491,増田充,54.0,村田順,0
18,グレートコマンダー,18/9/24,浦和,10,ゴールドスペンサー特別 Ｂ３(一),1400,曇/稍重,10,2,3/11,1:29.2,0.2,39.4,4-4-4,482,町田直,54.0,村田順,"440,000"
19,グレートコマンダー,18/9/10,川崎☆,9,第５１回伊勢原観光道灌まつり開催記念 Ｂ３(二),1500,雨/不良,3,4,3/13,1:36.4,1.1,39.6,7-7-6,485,矢野貴,54.0,村田順,"600,000"
20,グレートコマンダー,18/8/24,川崎☆,11,やまなみ五湖「宮ヶ瀬湖」杯 Ｃ１(一),1600,晴/稍重,12,5,1/13,1:44.3,0.0,40.2,2-2-1,477,矢野貴,54.0,村田順,"2,000,000"
21,グレートコマンダー,18/8/9,船橋☆,12,グラドル文化祭お見送りライブ特別 Ｃ１(一),1600,晴/不良,1,5,6/8,1:44.9,2.6,41.4,7-7-7,478,町田直,54.0,村田順,0
22,グレートコマンダー,18/7/5,川崎☆,9,ラベンダー賞 Ｃ１,1500,曇/良,2,1,3/14,1:36.8,0.3,39.8,4-6-5,477,町田直,54.0,村田順,"325,000"
23,グレートコマンダー,18/6/13,川崎☆,8,ドラゴンポテト　グランプリ獲得記念 Ｃ１,1500,晴/稍重,2,1,1/11,1:37.2,0.0,39.8,2-2-2,483,町田直,54.0,村田順,"1,300,000"
24,グレートコマンダー,18/5/18,川崎☆,8,アカシア賞 Ｃ１,1500,晴/良,4,1,3/14,1:36.0,0.5,41.0,2-2-2,482,町田直,54.0,村田順,"325,000"
25,グレートコマンダー,18/4/2,川崎☆,8,ウィング川崎杯 Ｃ１(八)(九),1400,晴/良,3,2,1/11,1:30.7,0.8,40.2,2-2-2,486,町田直,54.0,村田順,"1,200,000"
26,グレートコマンダー,18/3/19,浦和,7, Ｃ２(四)(五),1400,曇/稍重,1,4,1/12,1:30.5,0.0,39.7,8-6-3,482,町田直,54.0,村田順,"1,000,000"
27,グレートコマンダー,18/3/1,川崎,6, Ｃ２(八)(九)(十),1400,晴/不良,5,8,1/12,1:32.3,0.4,40.0,2-2-2,491,町田直,54.0,村田順,"1,000,000"
28,グレートコマンダー,18/1/31,川崎,4,白銀の世界・八幡平マッシュルーム Ｃ２(九)(十)(十一),1400,晴/稍重,7,11,3/12,1:32.6,0.6,40.4,8-9-6,484,町田直,54.0,村田順,"200,000"
29,グレートコマンダー,18/1/19,船橋,8, Ｃ２(九)(十),1500,曇/重,8,9,10/10,1:41.7,2.2,41.5,8-9-9,483,中越琉,53.0,村田順,0
30,グレートコマンダー,18/1/5,川崎,8,２７ｔｈ中原美穂誕生日前日記念 Ｃ２(七)(八)(九),1400,曇/良,3,8,10/12,1:34.4,2.2,40.6,10-11-10,483,中越琉,53.0,村田順,0
31,グレートコマンダー,17/11/25,高知,1,アカヤガラの刺身特別 Ｃ３,1300,曇/重,11,3,1/11,1:24.2,0.0,38.2,2-3-2,488,林謙佑,53.0,田中譲,"200,000"
32,グレートコマンダー,17/11/5,高知,5,Ｃ３−８ Ｃ３,1300,晴/重,5,2,7/10,1:28.1,2.1,40.8,10-9-9,492,郷間勇,54.0,田中譲,0
33,グレートコマンダー,17/10/28,高知,4,必勝祈願脇田洸一特別 Ｃ３(イ),1300,雨/重,9,1,3/12,1:25.7,0.7,39.8,1-1-2,493,佐原秀,54.0,田中譲,"15,000"
34,グレートコマンダー,17/10/21,高知,8,キリンビバックス特別 Ｃ３,1300,雨/不良,7,5,2/9,1:24.9,0.7,40.4,4-4-3,494,佐原秀,54.0,田中譲,"50,000"
35,グレートコマンダー,17/10/9,高知,3,Ｃ３−１０ Ｃ３,1300,晴/重,9,3,6/12,1:27.2,2.0,40.5,9-8-8,501,佐原秀,54.0,田中譲,0
36,グレートコマンダー,17/8/19,小倉,7,３歳,1200/芝,晴/良,16,18,18/18,1:12.3,3.5,36.8,16-18,468,熊澤重,54.0,角田晃,0
37,グレートコマンダー,17/6/24,阪神,2,３歳,1800,晴/稍重,6,13,14/16,1:57.7,3.0,40.2,4-6-8,468,森裕太,51.0,角田晃,0
38,グレートコマンダー,17/6/3,阪神,1,３歳,1200,晴/稍重,15,10,13/16,1:15.1,2.6,38.2,15-13,470,秋山真,54.0,角田晃,0
39,グレートコマンダー,17/1/28,京都,3,３歳,1400,晴/良,3,12,16/16,1:30.6,4.5,42.2,11-12,464,森裕太,51.0,角田晃,0
40,グレートコマンダー,17/1/14,中京,1,３歳,1800,小雪/良,14,6,13/16,1:59.9,4.3,41.9,11-13-13,460,幸英明,54.0,角田晃,0
41,グレートコマンダー,16/11/20,京都,1,２歳,1400,曇/重,6,5,10/14,1:26.9,1.9,38.7,7-7,466,幸英明,54.0,角田晃,0
42,グレートコマンダー,16/10/30,京都,2,２歳,1200,晴/良,7,5,6/13,1:14.1,0.6,37.5,10-10,468,濱中俊,54.0,角田晃,0
43,グレートコマンダー,16/10/16,京都,4,２歳,1200,晴/良,2,3,3/10,1:14.3,0.2,36.9,6-5,468,幸英明,54.0,角田晃,"1,800,000"
0,ビービービージー,19/10/25,川崎☆,6, Ｃ２(九)(十)(十一),1500,曇/不良,4,4,7/7,1:41.2,3.3,41.8,7-7-7,479,森泰斗,56.0,高月賢,0
1,ビービービージー,19/9/4,川崎,4, Ｃ２(三)(四)(五),1500,曇/不良,8,6,10/10,1:41.4,2.1,41.0,7-9-10,472,左海誠,56.0,高月賢,0
2,ビービービージー,19/8/23,川崎☆,6,二瓶さん定年記念！分室は任せろ杯 Ｃ２(二)(三)(四),1500,雨/重,5,6,3/9,1:38.8,0.4,40.5,6-4-4,468,左海誠,56.0,高月賢,"250,000"
3,ビービービージー,19/8/5,川崎☆,6, Ｃ２(二)(三)(四),1500,晴/良,4,4,7/12,1:39.1,1.8,41.0,11-10-10,461,森泰斗,56.0,高月賢,0
4,ビービービージー,19/7/23,川崎,5,ＦＭヨコハマ賞 Ｃ２(三)(四),1400,曇/稍重,2,4,6/12,1:33.7,1.2,40.8,9-11-11,469,森泰斗,56.0,高月賢,0
5,ビービービージー,19/7/4,川崎☆,7,小野ファーム牧場アイス記念 Ｃ３(一)(二),1500,雨/不良,3,3,2/10,1:39.7,1.5,41.0,6-6-6,474,森泰斗,56.0,高月賢,"304,000"
6,ビービービージー,19/6/21,船橋,3, Ｃ２(八)(九),1500,晴/良,10,1,5/12,1:38.6,0.5,39.8,10-9-10,472,森泰斗,56.0,高月賢,"100,000"
7,ビービービージー,19/6/12,川崎☆,6, Ｃ２(六)(七)(八),1500,曇/重,8,5,3/10,1:38.1,0.6,39.8,10-10-8,479,赤岡修,56.0,高月賢,"250,000"
8,ビービービージー,19/5/17,川崎☆,9,ヤマネノシゴトグループ杯 Ｃ２(七)(八),1500,晴/良,4,3,7/12,1:38.8,1.3,40.6,12-11-11,483,山崎誠,56.0,高月賢,0
9,ビービービージー,19/4/19,船橋☆,9,ジルコン賞 Ｃ３,1600,曇/稍重,8,8,1/14,1:46.0,0.7,39.1,13-13-8,484,山崎誠,56.0,高月賢,"900,000"
10,ビービービージー,19/4/5,川崎,4, Ｃ３(一)(二),1400,晴/良,4,5,4/10,1:33.3,0.8,39.4,8-8-9,486,山崎誠,56.0,高月賢,"120,000"
11,ビービービージー,19/2/28,川崎,6,月桂樹（げっけいじゅ）賞 Ｃ３,1400,雨/重,12,4,10/12,1:34.1,2.2,40.2,10-11-11,489,的場文,56.0,高月賢,0
12,ビービービージー,19/2/14,浦和,5, Ｃ３(三)(四),1400,晴/良,2,2,3/11,1:31.9,0.3,38.4,11-10-7,487,的場文,56.0,高月賢,"160,000"
13,ビービービージー,19/1/31,川崎,4, Ｃ３(三)(四)(五),1400,曇/良,8,4,8/12,1:34.4,0.8,40.0,8-9-9,492,的場文,56.0,高月賢,0
14,ビービービージー,19/1/4,川崎,5,お疲れ様木下信之さん還暦祝い Ｃ３(一)(二),1500,晴/良,12,5,5/14,1:39.2,1.1,39.4,14-13-10,491,的場文,56.0,高月賢,"96,000"
15,ビービービージー,18/12/17,川崎☆,6, Ｃ２(三)(四),1400,晴/重,2,3,3/12,1:34.8,1.8,40.7,11-12-12,490,的場文,56.0,高月賢,"250,000"
16,ビービービージー,18/11/26,川崎☆,8, Ｃ２(四)(五)(六),1400,晴/良,1,2,3/12,1:32.2,2.0,39.3,11-11-8,491,的場文,56.0,高月賢,"250,000"
17,ビービービージー,18/10/17,川崎,5, Ｃ２(五)(六),1400,曇/良,11,6,3/11,1:32.8,0.1,40.6,8-8-10,496,的場文,56.0,高月賢,"250,000"
18,ビービービージー,18/9/26,浦和,8,南関魂賞 Ｃ２(六)(七),1400,曇/不良,6,4,7/10,1:33.1,2.0,39.5,10-10-10,501,今野忠,56.0,高月賢,0
19,ビービービージー,18/9/11,川崎,5,鈴虫（すずむし）賞 Ｃ３,1400,曇/重,3,2,1/10,1:33.7,0.1,41.2,6-5-5,500,的場文,56.0,高月賢,"900,000"
20,ビービービージー,18/8/24,川崎☆,6,おがわじゅりさん来場記念 Ｃ３(一)(二),1400,晴/稍重,5,3,5/8,1:32.7,1.2,40.3,8-8-8,504,真島大,56.0,高月賢,"96,000"
21,ビービービージー,18/7/23,川崎,4, Ｃ３(一)(二),1500,晴/良,8,6,4/12,1:38.2,1.0,40.6,9-7-7,499,真島大,56.0,高月賢,"120,000"
22,ビービービージー,18/7/4,川崎,4, Ｃ３(四)(五)(六),1500,曇/良,8,4,4/12,1:39.6,0.9,41.6,4-3-4,495,矢野貴,56.0,高月賢,"120,000"
23,ビービービージー,18/6/15,川崎☆,6,Ｙｏｕは何しにリフォームへ記念 Ｃ２(七)(八)(九),1400,曇/不良,4,3,6/12,1:34.2,1.1,41.3,9-9-10,500,矢野貴,56.0,高月賢,0
24,ビービービージー,18/5/31,浦和,4, Ｃ２(十一)(十二)(十三),1400,曇/稍重,2,5,3/12,1:31.8,0.1,38.3,6-7-6,505,矢野貴,56.0,高月賢,"200,000"
25,ビービービージー,18/5/18,川崎,3, Ｃ３(一)(二)(三),1400,晴/良,1,4,5/12,1:32.7,0.5,40.2,6-10-8,496,矢野貴,56.0,高月賢,"96,000"
26,ビービービージー,18/4/25,浦和,6, Ｃ２Ｃ３選抜馬,800,曇/不良,4,4,10/11,50.6,2.1,37.1,8-9,506,森泰斗,55.0,高月賢,0
27,ビービービージー,18/4/3,川崎,3,イヌワシ賞 Ｃ３,900,晴/良,2,5,3/12,56.1,0.5,37.8,7-7-6,504,森泰斗,56.0,高月賢,"225,000"
28,ビービービージー,18/3/16,船橋☆,5,第４回船橋ケイバ満喫記念 Ｃ３,1000,雨/重,1,4,9/14,1:03.9,1.4,39.5,4-5,504,瀧川寿,56.0,高月賢,0
29,ビービービージー,18/2/26,川崎,3,チーター賞 Ｃ３,900,曇/良,11,8,6/12,56.4,0.5,38.1,4-4-4,509,森泰斗,56.0,高月賢,0
30,ビービービージー,17/11/1,大井☆,4, Ｃ２(六)(七)(八),1400,晴/稍重,4,5,13/14,1:31.4,3.2,40.1,11-14-14,459,森泰斗,56.0,栗田裕,0
31,ビービービージー,17/10/3,大井,3, Ｃ２(七)(八),1600,曇/稍重,6,4,11/13,1:47.4,2.4,42.6,9-10-11,466,的場文,56.0,栗田裕,0
32,ビービービージー,17/9/14,大井☆,7, Ｃ２(四)(五),1600,曇/稍重,9,2,10/11,1:47.2,3.7,42.9,9-11-10,467,的場文,56.0,栗田裕,0
33,ビービービージー,17/8/29,大井,2, Ｃ２Ｃ３Ｃ２六組,1400,晴/良,1,2,1/13,1:29.1,0.3,39.5,1-1-1,467,的場文,55.0,栗田裕,"1,100,000"
34,ビービービージー,17/8/14,大井,2, Ｃ３(三)(四),1200,曇/重,5,3,4/11,1:15.4,0.9,39.8,2-2,467,的場文,56.0,栗田裕,"120,000"
35,ビービービージー,17/7/28,大井,2, Ｃ３(三)(四),1200,晴/良,5,8,4/15,1:15.2,0.5,39.5,2-3,474,的場文,56.0,栗田裕,"120,000"
36,ビービービージー,17/7/13,大井,2, Ｃ３(三)(四),1200,晴/良,6,12,7/15,1:15.9,1.2,39.6,6-7,481,的場文,56.0,栗田裕,0
37,ビービービージー,17/6/30,大井,6, Ｃ２(九)(十),1200,曇/稍重,1,7,13/16,1:16.7,1.8,40.0,8-8,482,坂井英,56.0,栗田裕,0
38,ビービービージー,17/6/8,大井,6, Ｃ２(八)(九),1200,曇/稍重,6,4,9/11,1:16.6,1.6,39.1,7-7,485,森泰斗,56.0,栗田裕,0
39,ビービービージー,17/5/25,大井,7, Ｃ２(九)(十),1200,曇/良,2,2,11/14,1:16.9,1.9,40.8,2-2,490,森泰斗,56.0,栗田裕,0
40,ビービービージー,17/5/11,大井,5, Ｃ２(十)(十一)(十二),1200,晴/良,10,2,8/11,1:16.2,1.2,39.7,1-1,490,森泰斗,56.0,栗田裕,0
41,ビービービージー,16/12/2,大井,1, ３歳２００万,1200,晴/不良,10,2,2/12,1:14.6,0.1,38.6,4-5,481,森泰斗,56.0,栗田裕,"480,000"
42,ビービービージー,16/10/28,大井☆,2, ３歳２００万,1200,雨/良,2,4,7/10,1:16.2,1.0,40.3,4-4,484,森泰斗,56.0,栗田裕,0
43,ビービービージー,16/10/14,大井,3, ３歳２００万,1200,曇/良,1,2,7/12,1:16.8,1.0,39.3,9-9,480,森泰斗,56.0,栗田裕,0
44,ビービービージー,16/9/7,門別,7,キバナコスモス特別 Ｃ３,1200,晴/稍重,5,1,6/8,1:15.4,0.9,39.5,4-6,476,桑村真,56.0,佐久雅,0
45,ビービービージー,16/8/17,門別,8,３歳以上　Ｃ４−２ Ｃ４,1200,雨/不良,10,2,1/10,1:15.2,0.3,37.7,2-1,476,岩橋勇,56.0,佐久雅,"200,000"
46,ビービービージー,16/8/4,門別,9,３歳以上　Ｃ４−２ Ｃ４,1200,晴/良,4,8,2/11,1:15.6,0.2,38.2,10-10,478,桑村真,56.0,佐久雅,"40,000"
47,ビービービージー,16/7/21,門別,8,３歳以上　Ｃ４−２ Ｃ４,1000,曇/重,1,4,5/8,1:01.5,0.5,38.1,6-6,474,石川倭,56.0,佐久雅,"10,000"
48,ビービービージー,16/6/14,門別,7,３歳以上　Ｃ４−２ Ｃ４,1200,雨/稍重,2,3,5/10,1:15.7,2.5,39.4,8-8,468,石川倭,56.0,佐久雅,"10,000"
49,ビービービージー,16/6/1,門別,10,ふたご座特別 ３歳(条件),1200,曇/重,10,5,3/10,1:13.4,0.2,37.1,6-7,466,石川倭,54.0,佐久雅,"105,000"
50,ビービービージー,16/5/11,門別,1,３歳条件　４−２ ３歳(条件),1200,雨/不良,2,2,1/7,1:14.7,0.1,37.5,3-2,470,松井伸,56.0,佐久雅,"300,000"
51,ビービービージー,16/4/27,門別,4,３歳条件　４−２ ３歳(条件),1000,晴/良,4,2,2/6,1:02.4,0.7,37.7,3-3,468,松井伸,56.0,佐久雅,"84,000"
52,ビービービージー,16/3/29,川崎,3, ３歳(六)(ロ),1500,晴/良,8,3,5/9,1:40.5,1.5,42.4,3-3-3,469,藤江渉,56.0,武井和,"120,000"
53,ビービービージー,16/3/2,川崎,8,春風（はるかぜ）賞 ３歳,900,晴/良,2,1,6/11,56.9,1.4,38.5,8-7-8,473,藤江渉,56.0,武井和,0
54,ビービービージー,16/1/29,川崎,7,寒風（かんぷう）賞 ３歳,900,雨/良,5,3,2/11,56.3,0.4,38.0,5-2-2,474,藤江渉,56.0,武井和,"420,000"
55,ビービービージー,15/11/10,門別,5,２歳　５組 ２歳,1000,雨/不良,4,5,7/12,1:01.3,0.7,37.0,8-8,470,松井伸,55.0,佐久雅,0
56,ビービービージー,15/10/28,門別,7,２歳　未勝利 ２歳,1000,晴/不良,12,3,1/12,1:00.9,0.1,36.8,4-5,470,石川倭,55.0,佐久雅,"400,000"
57,ビービービージー,15/10/15,門別,1,２歳　未勝利 ２歳,1000,晴/良,6,3,2/12,1:03.5,0.1,38.6,3-1,466,桑村真,55.0,佐久雅,"80,000"
58,ビービービージー,15/9/30,門別,3,２歳　未勝利 ２歳,1000,晴/稍重,2,5,2/11,1:03.6,0.6,37.0,10-8,468,桑村真,55.0,佐久雅,"80,000"
59,ビービービージー,15/9/17,門別,2,２歳　未勝利 ２歳,1200,晴/良,1,5,6/8,1:18.6,1.5,40.6,7-7,468,阿部龍,54.0,佐久雅,0
60,ビービービージー,15/8/27,門別,7,ＪＲＡ認定フレッシュチャレンジ ２歳,1200,曇/良,5,3,5/10,1:18.9,2.8,41.1,7-7,468,阿部龍,54.0,佐久雅,"75,000"
0,クインズコースト,19/10/25,川崎☆,11,ヨコスカネイビーバーガー記念 Ｂ３(三),1500,曇/不良,11,6,3/13,1:37.5,0.5,41.3,7-8-8,464,岡村健,56.0,秋吉和,"600,000"
1,クインズコースト,19/10/3,大井☆,10,虹色に輝く光の大噴水賞 Ｂ３(一)(二),1800,曇/良,9,12,9/16,1:58.0,1.9,40.0,10-11-10,460,岡村健,56.0,秋吉和,0
2,クインズコースト,19/9/17,大井☆,10,爽籟特別 Ｃ１Ｃ２,1700,晴/重,1,10,1/11,1:51.5,0.5,39.3,6-6-6,456,岡村健,57.0,秋吉和,"2,600,000"
3,クインズコースト,19/8/26,大井☆,10,新涼賞 Ｃ１(七)(八),1600,曇/良,9,6,8/11,1:45.5,1.5,39.3,11-10-10,459,岡部誠,56.0,秋吉和,0
4,クインズコースト,19/8/14,大井☆,8, Ｃ１(八)(九)(十),1400,晴/重,12,7,3/14,1:29.0,0.4,38.1,13-13-12,461,赤岡修,56.0,秋吉和,"300,000"
5,クインズコースト,19/7/31,大井☆,9,ウッドフォードリザーブ賞 Ｃ１(七)(八),1600,晴/稍重,10,9,4/11,1:43.7,0.6,38.7,8-9-9,459,岡部誠,56.0,秋吉和,"180,000"
6,クインズコースト,19/7/12,大井☆,7, Ｃ１(九)(十),1600,曇/重,7,6,5/12,1:44.8,2.0,41.0,5-5-6,460,赤岡修,56.0,秋吉和,"120,000"
7,クインズコースト,19/6/25,大井,7, Ｃ１(五)(六),1600,晴/不良,5,6,6/9,1:44.2,1.3,40.4,8-8-8,462,赤岡修,56.0,秋吉和,0
8,クインズコースト,19/6/5,大井☆,8, Ｃ１(五)(六),1600,曇/良,10,10,6/15,1:45.2,1.0,40.5,13-13-12,458,赤岡修,56.0,秋吉和,0
9,クインズコースト,19/5/21,大井,7, Ｃ１(六)(七),1600,雨/不良,11,9,4/13,1:43.9,1.4,40.3,10-9-7,459,西啓太,56.0,秋吉和,"180,000"
